À	&Agrave;
È	&Egrave;
Ì	&Igrave;
Ò	&Ograve;
Ù	&Ugrave;
à	&agrave;
è	&egrave;
ì	&igrave;
ò	&ograve;
ù	&ugrave;
Á	&Aacute;
Á	&Aacute;
É	&Eacute;
Í	&Iacute;
Ó	&Oacute;
Ú	&Uacute;
Ý	&Yacute;
á	&aacute;
é	&eacute;
í	&iacute;
ó	&oacute;
ú	&uacute;
ý	&yacute;
Â	&Acirc;
Ê	&Ecirc;
Î	&Icirc;
Ô	&Ocirc;
Û	&Ucirc;
â	&acirc;
ê	&ecirc;
î	&icirc;
ô	&ocirc;
û	&ucirc;
Ã	&Atilde;
Ñ	&Ntilde;
Õ	&Otilde;
ã	&atilde;
ñ	&ntilde;
õ	&otilde;
Ä	&Auml;
Ë	&Euml;
Ï	&Iuml;
Ö	&Ouml;
Ü	&Uuml;
Ÿ	&Yuml;
ä	&auml;
ë	&euml;
ï	&iuml;
ö	&ouml;
ü	&uuml;
ÿ	&yuml;
